device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-2gb-bc,0,86.25592417061611,455,0,150,145,fed_avg,pi4-2gb-bc
pi4-2gb-wc,0,86.47114474929045,457,0,150,143,fed_avg,pi4-2gb-bc
pi4-4gb,0,87.00564971751412,462,0,150,138,fed_avg,pi4-2gb-bc
All,0,86.28287135749822,1821,0,600,579,fed_avg,pi4-2gb-bc
pi3-1gb,1,87.11194731890876,463,0,150,137,fed_avg,pi4-2gb-bc
pi4-2gb-bc,1,89.70588235294117,488,0,150,112,fed_avg,pi4-2gb-bc
pi4-2gb-wc,1,89.40092165898618,485,0,150,115,fed_avg,pi4-2gb-bc
pi4-4gb,1,90.61075660893346,497,0,150,103,fed_avg,pi4-2gb-bc
All,1,89.22224786522041,1933,0,600,467,fed_avg,pi4-2gb-bc
pi3-1gb,2,66.22073578595317,297,0,150,303,fed_avg,pi4-2gb-bc
pi4-2gb-bc,2,70.55016181229774,327,0,150,273,fed_avg,pi4-2gb-bc
pi4-2gb-wc,2,70.55016181229774,327,0,150,273,fed_avg,pi4-2gb-bc
pi4-4gb,2,73.15010570824523,346,0,150,254,fed_avg,pi4-2gb-bc
All,2,70.16499864755207,1297,0,600,1103,fed_avg,pi4-2gb-bc
pi3-1gb,3,41.479524438573314,157,0,150,443,fed_avg,pi4-2gb-bc
pi4-2gb-bc,3,90.30303030303028,596,124,26,4,fed_avg,pi4-2gb-bc
pi4-2gb-wc,3,91.0891089108911,598,115,35,2,fed_avg,pi4-2gb-bc
pi4-4gb,3,95.74979951884522,597,50,100,3,fed_avg,pi4-2gb-bc
All,3,84.01984041406081,1948,289,311,452,fed_avg,pi4-2gb-bc
pi3-1gb,4,19.819819819819816,66,0,150,534,fed_avg,pi4-2gb-bc
pi4-2gb-bc,4,78.04054054054053,462,122,28,138,fed_avg,pi4-2gb-bc
pi4-2gb-wc,4,79.3305439330544,474,121,29,126,fed_avg,pi4-2gb-bc
pi4-4gb,4,80.6611570247934,488,122,28,112,fed_avg,pi4-2gb-bc
All,4,70.0352526439483,1490,365,235,910,fed_avg,pi4-2gb-bc
pi3-1gb,0,85.82302568981922,451,0,150,149,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,0,85.27724665391969,446,0,150,154,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,0,85.16746411483254,445,0,150,155,trimmed_mean,pi4-2gb-bc
pi4-4gb,0,85.82302568981922,451,0,150,149,trimmed_mean,pi4-2gb-bc
All,0,85.52349153350822,1793,0,600,607,trimmed_mean,pi4-2gb-bc
pi3-1gb,1,86.03988603988604,453,0,150,147,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,1,85.38681948424069,447,0,150,153,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,1,85.49618320610688,448,0,150,152,trimmed_mean,pi4-2gb-bc
pi4-4gb,1,85.60533841754051,449,0,150,151,trimmed_mean,pi4-2gb-bc
All,1,85.6325947105075,1797,0,600,603,trimmed_mean,pi4-2gb-bc
pi3-1gb,2,67.69570011025358,307,0,150,293,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,2,55.42168674698795,230,0,150,370,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,2,55.24728588661038,229,0,150,371,trimmed_mean,pi4-2gb-bc
pi4-4gb,2,55.942376950780314,233,0,150,367,trimmed_mean,pi4-2gb-bc
All,2,58.7819947043248,999,0,600,1401,trimmed_mean,pi4-2gb-bc
pi3-1gb,3,65.92178770949721,295,0,150,305,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,3,91.1660777385159,516,16,134,84,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,3,92.7304964539007,523,5,145,77,trimmed_mean,pi4-2gb-bc
pi4-4gb,3,93.71727748691099,537,9,141,63,trimmed_mean,pi4-2gb-bc
All,3,87.00302255289468,1871,30,570,529,trimmed_mean,pi4-2gb-bc
pi3-1gb,4,51.668726823238565,209,0,150,391,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,4,84.1091492776886,524,122,28,76,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,4,85.89540412044374,542,120,30,58,trimmed_mean,pi4-2gb-bc
pi4-4gb,4,85.07223113964686,530,116,34,70,trimmed_mean,pi4-2gb-bc
All,4,79.11461757615605,1805,358,242,595,trimmed_mean,pi4-2gb-bc
pi3-1gb,0,67.54966887417218,306,0,150,294,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,0,67.40331491712706,305,0,150,295,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,0,67.69570011025358,307,0,150,293,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,0,69.56521739130436,320,0,150,280,trimmed_mean_2,pi4-2gb-bc
All,0,68.05937328202309,1238,0,600,1162,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,1,75.77639751552795,366,0,150,234,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,1,75.64766839378237,365,0,150,235,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,1,75.77639751552795,366,0,150,234,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,1,75.13007284079085,361,0,150,239,trimmed_mean_2,pi4-2gb-bc
All,1,75.5832037325039,1458,0,600,942,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,2,75.38940809968847,363,0,150,237,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,2,58.490566037735846,248,0,150,352,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,2,59.3200468933177,253,0,150,347,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,2,59.64912280701754,255,0,150,345,trimmed_mean_2,pi4-2gb-bc
All,2,63.59761295822677,1119,0,600,1281,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,3,15.10015408320493,49,0,150,551,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,3,54.191980558930744,223,0,150,377,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,3,54.36893203883496,224,0,150,376,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,3,54.54545454545454,225,0,150,375,trimmed_mean_2,pi4-2gb-bc
All,3,46.203140019224605,721,0,600,1679,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,4,4.878048780487806,15,0,150,585,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,4,88.47583643122677,595,150,0,5,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,4,88.55869242199108,596,150,0,4,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,4,88.75651526433359,596,147,3,4,trimmed_mean_2,pi4-2gb-bc
All,4,77.52204775220477,1802,447,153,598,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,0,22.22222222222222,75,0,150,525,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,0,66.96230598669622,302,0,150,298,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,0,65.92178770949721,295,0,150,305,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,0,66.96230598669622,302,0,150,298,coordinate_wise_median,pi4-2gb-bc
All,0,57.73562537048015,974,0,600,1426,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,1,33.795013850415515,122,0,150,478,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,1,74.8696558915537,359,0,150,241,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,1,71.1063372717508,331,0,150,269,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,1,73.01587301587301,345,0,150,255,coordinate_wise_median,pi4-2gb-bc
All,1,65.05482147877424,1157,0,600,1243,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,2,38.92617449664429,145,0,150,455,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,2,53.836784409257,221,0,150,379,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,2,54.72154963680387,226,0,150,374,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,2,55.5956678700361,231,0,150,369,coordinate_wise_median,pi4-2gb-bc
All,2,51.07043127520944,823,0,600,1577,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,3,10.725552050473187,34,0,150,566,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,3,42.72608125819135,163,0,150,437,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,3,44.15584415584416,170,0,150,430,coordinate_wise_median,pi4-2gb-bc
