device,num_adversaries,f1,tp,fp,tn,fn,aggregation
All,3,46.3016330451489,723,0,600,1677,coordinate_wise_median
pi3-1gb,4,9.8256735340729,31,0,150,569,coordinate_wise_median
pi4-2gb-bc,4,84.83685220729367,442,0,150,158,coordinate_wise_median
pi4-2gb-wc,4,84.83685220729367,442,0,150,158,coordinate_wise_median
pi4-4gb,4,85.16746411483254,445,0,150,155,coordinate_wise_median
All,4,72.34042553191489,1360,0,600,1040,coordinate_wise_median
pi3-1gb,5,67.10963455149502,303,0,150,297,coordinate_wise_median
pi4-2gb-bc,5,75.43679342240493,367,6,144,233,coordinate_wise_median
pi4-2gb-wc,5,80.67393458870168,407,2,148,193,coordinate_wise_median
pi4-4gb,5,79.40298507462687,399,6,144,201,coordinate_wise_median
All,5,75.88688946015424,1476,14,586,924,coordinate_wise_median
pi3-1gb,6,51.301115241635685,207,0,150,393,coordinate_wise_median
pi4-2gb-bc,6,87.65217391304347,504,46,104,96,coordinate_wise_median
pi4-2gb-wc,6,89.43364327979712,529,54,96,71,coordinate_wise_median
pi4-4gb,6,88.65058087578194,496,23,127,104,coordinate_wise_median
All,6,81.52148391641231,1736,123,477,664,coordinate_wise_median
