device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-2gb-wc,2,53.21100917431192,290,0,200,510,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,2,48.96421845574388,260,2,198,540,trimmed_mean_2,pi4-2gb-bc
All,2,56.529516994633276,1264,8,792,1936,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,3,61.97424892703862,361,4,196,439,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,3,4.38489646772229,18,3,197,782,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,3,6.76328502415459,28,0,200,772,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,3,6.053268765133172,25,1,199,775,trimmed_mean_2,pi4-2gb-bc
All,3,23.736263736263737,432,8,792,2768,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,4,49.953227315247894,267,2,198,533,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,4,2.2167487684729066,9,3,197,791,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,4,4.161566707466341,17,0,200,783,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,4,3.9167686658506735,16,1,199,784,trimmed_mean_2,pi4-2gb-bc
All,4,17.581792318634424,309,6,794,2891,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,0,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,0,85.97733711048159,607,5,195,193,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,0,85.91749644381223,604,2,198,196,coordinate_wise_median,pi4-2gb-bc
All,0,86.82247637991048,2619,214,586,581,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,1,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,1,85.97603946441154,610,9,191,190,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,1,85.97603946441154,610,9,191,190,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,1,85.85643212508883,604,3,197,196,coordinate_wise_median,pi4-2gb-bc
All,1,86.81555004135649,2624,221,579,576,coordinate_wise_median,pi4-2gb-bc
